Alisson Becker,193cm,32년,€3500만,2.55,0.34,0.51,0.00,81.5%,0.00,0.00
Caoimhin Kelleher,188cm,26년,€2200만,3.00,1.00,0.33,0.00,72.1%,0.00,0.00
Stefan Ortega,183cm,32년,€950만,2.50,1.50,0.00,0.00,69.8%,0.00,0.00
Ederson Moraes,188cm,31년,€3500만,2.33,1.42,0.17,0.08,85.5%,0.25,0.00
Robert Sánchez,197cm,27년,€2300만,3.50,1.17,0.17,0.25,73.0%,0.25,0.00
Neto,189cm,35년,€300만,5.50,1.00,0.00,0.50,61.1%,0.00,0.00
David Raya,183cm,29년,€3300만,2.83,1.00,0.33,0.00,67.1%,0.17,0.00
Jason Steele,188cm,34년,€400만,1.50,0.50,0.50,0.00,89.5%,0.00,0.00
Bart Verbruggen,193cm,22년,€2200만,3.80,1.50,0.20,0.20,78.6%,0.30,0.00
Fraser Forster,201cm,36년,€160만,2.00,1.00,0.00,0.00,90.7%,0.00,0.00
Guglielmo Vicario,194cm,28년,€4000만,2.42,1.08,0.25,0.00,90.8%,0.08,0.00
Matz Sels,188cm,32년,€750만,2.75,1.08,0.33,0.00,50.2%,0.17,0.00
Robin Olsen,198cm,34년,€200만,4.67,2.89,0.00,0.00,79.3%,0.00,0.00
Emiliano Martinez,195cm,32년,€3300만,2.58,1.58,0.08,0.00,80.4%,0.08,0.00
Bernd Leno,190cm,32년,€1800만,2.92,1.42,0.17,0.00,82.5%,0.17,0.00
John Ruddy,193cm,38년,€27만,3.48,1.41,0.25,0.02,59.1%,0.05,0.00
Martin Dubravka,190cm,35년,€140만,0.00,0.00,0.00,0.00,100.0%,0.00,0.00
Nick Pope,191cm,32년,€2000만,3.83,1.08,0.25,0.17,62.6%,0.08,0.00
Mark Flekken,189cm,31년,€1500만,5.00,1.83,0.08,0.00,75.1%,0.00,0.00
Matthew Cox,182cm,21년,€85만,3.29,1.39,0.11,0.07,62.9%,0.07,0.00
Tom Heaton,188cm,38년,€30만,2.00,0.00,1.00,0.00,90.6%,0.00,0.00
Andre Onana,190cm,28년,€3000만,2.75,1.08,0.42,0.00,73.9%,0.00,0.00
Kepa Arrizabalaga,189cm,30년,€1500만,3.43,1.71,0.14,0.14,76.9%,0.00,0.00
Mark Travers,191cm,25년,€400만,4.00,1.00,0.00,0.00,63.2%,0.00,0.00
Lukasz Fabianski,190cm,39년,€80만,3.33,1.11,0.44,0.00,56.9%,0.00,0.00
Alphonse Areola,195cm,31년,€1300만,2.67,1.87,0.13,0.00,70.5%,0.00,0.00
Wesley Foderingham,185cm,33년,€95만,4.52,2.69,0.03,0.17,52.6%,0.07,0.00
Asmir Begovic,199cm,37년,€32만,2.73,1.27,0.29,0.04,64.7%,0.09,0.02
Jordan Pickford,185cm,30년,€2500만,2.75,1.42,0.33,0.08,59.7%,0.08,0.00
Joao Virginia,191cm,25년,€85만,3.00,1.00,0.00,0.00,52.0%,0.00,0.00
Danny Ward,191cm,31년,€230만,1.67,1.67,0.67,0.00,72.2%,0.00,0.00
Daniel Iversen,191cm,27년,€350만,1.78,1.22,0.39,0.00,55.7%,0.00,0.00
Mads Hermansen,187cm,24년,€950만,3.92,1.92,0.08,0.00,62.9%,0.00,0.00
Daniel Bentley,188cm,31년,€250만,0.00,0.00,1.00,0.00,78.8%,0.00,0.00
Sam Johnstone,193cm,31년,€1300만,3.80,2.60,0.00,0.00,62.3%,0.00,0.00
José Sá,192cm,31년,€1700만,3.00,2.14,0.14,0.14,51.0%,0.00,0.00
Christian Walton,182cm,29년,€95만,3.00,2.00,0.00,0.00,74.3%,0.00,0.00
Arijanet Muric,197cm,26년,€800만,4.09,1.91,0.09,0.27,63.1%,0.09,0.00
Dean Henderson,188cm,27년,€1600만,3.50,1.42,0.17,0.00,57.4%,0.08,0.00
Matt Turner,190cm,30년,€750만,8.00,1.00,0.00,0.00,54.5%,0.00,0.00
Alex McCarthy,193cm,34년,€60만,5.00,1.67,0.00,0.67,72.5%,0.00,0.00
Aaron Ramsdale,188cm,26년,€2800만,4.00,2.11,0.11,0.00,72.9%,0.11,0.00
Gavin Bazunu,189cm,22년,€1900만,2.20,1.32,0.27,0.02,85.6%,0.02,0.00
